City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,port lincoln,-34.7333,135.8667,54.5,67,78,5.01,AU,1657358160
1,castro,-24.7911,-50.0119,53.76,95,86,7.09,BR,1657358161
2,loikaw,19.6742,97.2094,79.23,78,100,3.62,MM,1657358161
3,codrington,-38.2667,141.9667,47.61,83,6,3.51,AU,1657358161
4,nossa senhora da gloria,-10.2183,-37.4203,63.7,95,38,4.45,BR,1657358162
5,nikolskoye,59.7035,30.7861,76.87,49,44,10.47,RU,1657358162
6,provideniya,64.3833,-173.3,50.54,86,100,4.76,RU,1657358162
7,east london,-33.0153,27.9116,76.14,29,0,2.3,ZA,1657358100
8,punta arenas,-53.15,-70.9167,32.11,80,40,6.91,CL,1657358163
9,butaritari,3.0707,172.7902,82.08,76,54,12.08,KI,1657358163
10,khandyga,62.6667,135.6,69.13,56,100,5.66,RU,1657358107
11,luderitz,-26.6481,15.1594,59.56,78,3,14.85,NA,1657358164
12,baykit,61.67,96.37,76.64,32,95,5.14,RU,1657358164
13,sorong,-0.8833,131.25,79.75,87,100,9.75,ID,1657358164
14,bundaberg,-24.85,152.35,52.21,78,0,6.44,AU,1657358164
15,kaitangata,-46.2817,169.8464,39.27,71,100,7.02,NZ,1657358164
16,ushuaia,-54.8,-68.3,29.86,100,100,18.41,AR,1657357938
17,bredasdorp,-34.5322,20.0403,65.7,40,12,5.77,ZA,1657358165
18,lavrentiya,65.5833,-171,49.06,83,100,6.08,RU,1657358165
19,albany,42.6001,-73.9662,61.41,85,1,3.15,US,1657358165
20,kavieng,-2.5744,150.7967,82.49,72,30,14.99,PG,1657358166
21,cape town,-33.9258,18.4232,64.11,63,0,13.8,ZA,1657358102
22,atuona,-9.8,-139.0333,77.86,79,3,15.97,PF,1657358166
23,flagstaff,35.1981,-111.6513,71.26,37,0,6.91,US,1657358166
24,richards bay,-28.783,32.0377,75.04,48,0,12.97,ZA,1657358095
25,hermanus,-34.4187,19.2345,62.56,61,70,5.3,ZA,1657358003
26,turayf,31.6725,38.6637,93.02,6,0,12.35,SA,1657357867
27,mataura,-46.1927,168.8643,41.49,91,100,0.78,NZ,1657358167
28,georgetown,5.4112,100.3354,91.35,62,20,6.91,MY,1657358167
29,kastrakion,39.7156,21.6181,75.2,54,63,7.43,GR,1657358168
30,aklavik,68.2191,-135.0107,50.4,80,20,14.79,CA,1657358168
31,qaanaaq,77.484,-69.3632,38.77,86,100,1.77,GL,1657358168
32,dunedin,-45.8742,170.5036,41.81,63,100,5.01,NZ,1657358130
33,cervo,43.6702,-7.4101,68.83,74,2,11.25,ES,1657358169
34,esperance,-33.8667,121.9,67.71,41,94,20.76,AU,1657358169
35,vaini,-21.2,-175.2,74.7,74,27,19.22,TO,1657358169
36,waipawa,-41.4122,175.5153,46.62,87,97,14.2,NZ,1657358170
37,ribeira grande,38.5167,-28.7,68.4,73,75,6.91,PT,1657358170
38,kieta,-6.2167,155.6333,78.1,76,78,4.94,PG,1657358170
39,tuktoyaktuk,69.4541,-133.0374,40.1,90,76,10.63,CA,1657358170
40,tessalit,20.1986,1.0114,101.14,6,14,8.5,ML,1657358171
41,rikitea,-23.1203,-134.9692,74.91,79,76,18.59,PF,1657358147
42,kapaa,22.0752,-159.319,79.12,83,100,16.11,US,1657358171
43,port lavaca,28.615,-96.6261,83.98,87,0,3.44,US,1657358171
44,yellowknife,62.456,-114.3525,66.72,52,75,10.36,CA,1657358171
45,chapais,49.7834,-74.8492,44.38,95,5,4.27,CA,1657358172
46,mahebourg,-20.4081,57.7,71.89,64,40,13.8,MU,1657358172
47,koumac,-20.5667,164.2833,76.53,82,37,3.4,NC,1657358172
48,marzuq,14.4,46.4667,80.69,37,100,12.97,YE,1657358172
49,bluff,-46.6,168.3333,41.81,59,100,15.14,NZ,1657358172
50,champerico,14.3,-91.9167,77.36,87,3,5.19,GT,1657358174
51,coihaique,-45.5752,-72.0662,35.55,100,100,3.44,CL,1657357959
52,eugene,44.0521,-123.0867,59.38,89,20,3.44,US,1657358174
53,solginskiy,61.05,41.3428,73.87,38,65,5.79,RU,1657358174
54,nova granada,-20.5339,-49.3142,61.05,61,5,6.55,BR,1657358174
55,kindu,-2.95,25.95,92.5,23,1,4.52,CD,1657358026
56,zharkent,44.1628,80,90.36,17,3,17.29,KZ,1657358160
57,moyale,3.5167,39.0584,70.9,51,87,18.32,KE,1657358175
58,longonjo,-12.9067,15.2533,74.26,27,36,5.03,AO,1657358175
59,kahului,20.8947,-156.47,78.82,74,75,16.11,US,1657358065
60,carnarvon,-24.8667,113.6333,72.82,48,0,13.78,AU,1657358175
61,puerto ayora,-0.7393,-90.3518,69.55,93,77,5.01,EC,1657358176
62,mezen,65.8522,44.24,66.94,44,88,8.46,RU,1657358176
63,hobart,-42.8794,147.3294,49.86,84,75,5.75,AU,1657358176
64,sangar,63.9242,127.4739,64.69,55,71,3.18,RU,1657358177
65,kharp,66.8014,65.8081,68.85,56,65,15.64,RU,1657358177
66,dingle,10.9995,122.6711,82.11,84,100,10.11,PH,1657358178
67,jasper,37.2001,-94.3502,75.25,86,0,3.44,US,1657358147
68,sawtell,-30.3833,153.1,48.22,87,99,5.75,AU,1657358178
69,longyearbyen,78.2186,15.6401,49.84,46,20,11.5,SJ,1657358178
70,yerbogachen,61.2767,108.0108,69.57,41,12,5.46,RU,1657358178
71,angren,41.0167,70.1436,84.36,18,96,8.21,UZ,1657358179
72,celestun,20.8667,-90.4,77.25,84,16,10.74,MX,1657358179
73,fare,-16.7,-151.0167,78.3,75,4,14.18,PF,1657358179
74,arraial do cabo,-22.9661,-42.0278,60.66,94,0,3.44,BR,1657358180
75,svay rieng,11.0879,105.7993,85.78,65,100,9.44,KH,1657358180
76,karachi,24.9056,67.0822,82.22,89,75,12.66,PK,1657357991
77,makakilo city,21.3469,-158.0858,75,80,100,10.36,US,1657357964
78,adrar,20.5022,-10.0711,94.98,23,0,17.81,MR,1657358180
79,la libertad,-2.2333,-80.9,68.14,85,100,9.51,EC,1657358180
80,ahuimanu,21.4447,-157.8378,76.19,84,75,10.36,US,1657358181
81,yanam,16.7333,82.2167,77.59,87,99,12.24,IN,1657358181
82,busselton,-33.65,115.3333,61.18,81,89,22.48,AU,1657358181
83,palaia fokaia,37.72,23.9463,80.76,62,3,20.76,GR,1657358182
84,kirakira,-10.4544,161.9205,79.25,82,74,7.83,SB,1657358182
85,malaya vishera,58.8454,32.2222,73.98,44,69,8.97,RU,1657358166
86,victoria,22.2855,114.1577,94.17,81,39,11.01,HK,1657357884
87,barrow,71.2906,-156.7887,39.22,87,0,11.5,US,1657358182
88,genhe,50.7833,121.5167,57.92,93,99,5.46,CN,1657358182
89,katsuura,35.1333,140.3,76.3,88,100,13.22,JP,1657358183
90,hasaki,35.7333,140.8333,82.29,84,100,12.57,JP,1657358183
91,constitucion,-35.3333,-72.4167,52.34,87,100,28.12,CL,1657358183
92,talnakh,69.4865,88.3972,53.67,92,100,8.48,RU,1657358184
93,pangnirtung,66.1451,-65.7125,45,82,99,2.46,CA,1657358184
94,torbay,47.6666,-52.7314,50.29,95,100,8.05,CA,1657358184
95,west wendover,40.7391,-114.0733,76.21,14,0,8.05,US,1657358184
96,caravelas,-17.7125,-39.2481,69.3,91,73,4.65,BR,1657358185
97,henties bay,-22.116,14.2845,60.64,75,0,6.85,NA,1657358185
98,jizan,17.3333,42.6667,97.74,22,100,6.53,SA,1657358185
99,mar del plata,-38.0023,-57.5575,50.09,91,100,25.01,AR,1657358160
100,port alfred,-33.5906,26.891,73.87,29,0,9.98,ZA,1657358186
101,tiznit,29.5833,-9.5,101.25,11,3,2.28,MA,1657358186
102,prabumulih,-3.45,104.25,89.74,51,10,4.41,ID,1657358186
103,chuy,-33.6971,-53.4616,55.09,95,100,11.43,UY,1657358187
104,podporozhye,60.9112,34.1706,70.72,57,65,4.23,RU,1657358187
105,santa teresa,10.2341,-66.6631,71.94,97,97,1.01,VE,1657358187
106,port elizabeth,-33.918,25.5701,80.31,31,0,6.91,ZA,1657357986
107,tucurui,-3.7661,-49.6725,70.23,89,20,2.8,BR,1657358022
108,yumen,40.2833,97.2,93.4,8,1,8.93,CN,1657358188
